Amats,Uzņēmums,Darba vietas adrese,Alga bruto,Aktuāla līdz
KOMPLEKTĒTĀJS,"SIA ""RIMI LATVIA""","Jaunmoku iela 21, Rīga",800 - 1200 ,07.12.2023
KOMPLEKTĒTĀJS,"SIA ""RIMI LATVIA""","Vienības gatve 194A, Rīga",800 - 1200 ,07.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"SIA ""RIMI LATVIA""","Talsu šoseja 29, Jūrmala",4.8 - 5.5 ,30.11.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"SIA ""RIMI LATVIA""","Krišjāņa Barona iela 46, Rīga",4.9 - 5.3 ,07.12.2023
MĀSAS PALĪGS,"Valsts sabiedrība ar ierobežotu atbildību ""Nacionālais rehabilitācijas centrs ""Vaivari""""","Asaru prospekts 61, Jūrmala",895 - 920 ,30.11.2023
PRODUKCIJAS (PRECES) PIEŅĒMĒJS,"SIA ""RIMI LATVIA""","Maskavas iela 400, Rīga",5 - 5.3 ,30.11.2023
Padomes LOCEKLIS (valsts pārvaldes jomā un pašvaldībās),Valsts kanceleja,"Brīvības iela 55, Rīga",4152 ,05.12.2023
KOKAPSTRĀDES IEKĀRTU OPERATORS,"Meža pārstrādes kooperatīvā sabiedrība ""GAIZIŅŠ""","Gravas, Bērzaunes pag., Madonas nov.",1100 - 1200 ,30.11.2023
ŠUVĒJS,"""LINDSTROM PRODEM"" SIA","Melnezera iela 3, Tukums, Tukuma nov.",1000 - 1400 ,15.12.2023
AUTOMOBIĻA VADĪTĀJS,"SIA ""Laudi AG""","Madona, Madonas nov.",No 1200 ,30.11.2023
IEPIRKUMU SPECIĀLISTS,"SIA ""Rīgas ūdens""","Zigfrīda Annas Meierovica bulvāris 1, Rīga",1700 - 1850 ,04.12.2023
KULTŪRAS PASĀKUMU ORGANIZATORS,Balvu novada pašvaldība,"Bērzpils iela 1A, Balvi, Balvu nov.",745 - 894 ,30.11.2023
IESTĀDES VADĪTĀJS /ĢENERĀLDIREKTORS /DIREKTORS /PRIEKŠNIEKS /PRIEKŠSĒDĒTĀJS,Valsts kanceleja,"Pērses iela 2, Rīga",6500 ,15.12.2023
JURISKONSULTS,"Sabiedrība ar ierobežotu atbildību ""VALMIERAS NAMSAIMNIEKS""","Semināra iela 2A, Valmiera, Valmieras nov.",1400 - 1500 ,24.11.2023
TEHNISKAIS SEKRETĀRS,"""Swedbank"" AS","Balasta dambis 15, Rīga",850 ,29.11.2023
VADĪTĀJA /DIREKTORA /ĢENERĀLDIREKTORA PALĪGS,"Sabiedrība ar ierobežotu atbildību ""Latvijas Zinātņu akadēmijas Ekonomikas institūts""","Akadēmijas laukums 1, Rīga",1383 - 1600 ,31.12.2023
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""INDIAN DREAMS""","Krišjāņa Barona iela 52, Rīga",1373 ,29.02.2024
PAVĀRA PALĪGS,"Sabiedrība ar ierobežotu atbildību ""INDIAN DREAMS""","Krišjāņa Barona iela 52, Rīga",1373 ,29.02.2024
NEIROLOGS,"SIA ""Rīgas Austrumu klīniskā universitātes slimnīca""","Hipokrāta iela 2, Rīga",1821 - 2057 ,15.12.2023
MUZEJPEDAGOGS,Latvijas Etnogrāfiskais brīvdabas muzejs,"Bonaventuras iela 10, Rīga",1150 ,30.11.2023
KORA DZIEDĀTĀJS,"Valsts sabiedrība ar ierobežotu atbildību ""Latvijas Koncerti""","Ģenerāļa Radziņa krastmala 3, Rīga",1354 ,05.12.2023
PĀRDOŠANAS SPECIĀLISTS,"Sabiedrība ar ierobežotu atbildību ""Inomedis Aesthetic Group""","Gunāra Astras iela 1C, Rīga",1800 - 2200 ,15.12.2023
Izglītības un skolu PSIHOLOGS,"Salaspils novada pašvaldības pirmskolas izglītības iestāde ""Salaspils 1. pirmsskola""","Enerģētiķu iela 4B, Salaspils, Salaspils nov.",1550 ,15.12.2023
NOLIKTAVAS DARBINIEKS,"""RIX"", Sabiedrība ar ierobežotu atbildību","Rītausmas iela 23, Rīga",1300 - 1400 ,30.11.2023
IESTĀDES VADĪTĀJS /ĢENERĀLDIREKTORS /DIREKTORS /PRIEKŠNIEKS /PRIEKŠSĒDĒTĀJS,"SIA ""C PLUSS""","Aleksandra Čaka iela 91, Rīga",2000 ,29.12.2023
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,"Salaspils novada pašvaldības pirmskolas izglītības iestāde ""Salaspils 1. pirmsskola""","Enerģētiķu iela 4B, Salaspils, Salaspils nov.",1450 ,15.12.2023
PRODUKCIJAS (PRECES) PIEŅĒMĒJS,"""LATGRAN"" SIA","Ābeles, Zīlāni, Kūku pag., Jēkabpils nov.",6.5 ,30.11.2023
AUTOKRĀVĒJA VADĪTĀJS,"""LATGRAN"" SIA","Ābeles, Zīlāni, Kūku pag., Jēkabpils nov.",1700 ,30.11.2023
EKSPERTS,Rīgas domes Labklājības departaments,"Baznīcas iela 19/23, Rīga",1415 ,29.11.2023
BŪVSTRĀDNIEKS,"SIA ""EB Building""","Dāvida iela 1 - 1, Rīga",1377 - 1500 ,31.01.2024
PEDAGOGS,Saldus novada pašvaldība,"Veidenbauma iela 2A, Saldus, Saldus nov.",No 1320 ,27.11.2023
EKSPERTS,Jūrmalas Centrālā bibliotēka,"Strēlnieku prospekts 30, Jūrmala",1399 ,14.12.2023
SISTĒMBIBLIOTEKĀRS,Jūrmalas Centrālā bibliotēka,"Strēlnieku prospekts 30, Jūrmala",1399 ,14.12.2023
METĀLMATERIĀLU METINĀTĀJS,"Sabiedrība ar ierobežotu atbildību ""ERGO E.B.F.""","Saldus, Saldus nov.",1275 - 1760 ,30.11.2023
JURISKONSULTS,'RĪGAS DOMES ĪPAŠUMA DEPARTAMENTS',"Riharda Vāgnera iela 5, Rīga",1301 - 1450 ,30.11.2023
JURISKONSULTS,'RĪGAS DOMES ĪPAŠUMA DEPARTAMENTS',"Riharda Vāgnera iela 5, Rīga",1301 - 1530 ,15.12.2023
SOCIĀLAIS APRŪPĒTĀJS,"Pašvaldības aģentūra ""Olaines sociālais dienests""","Zemgales iela 33, Olaine, Olaines nov.",950 ,15.12.2023
IEPIRKUMU STRUKTŪRVIENĪBAS VADĪTĀJA VIETNIEKS /DIREKTORA VIETNIEKS,'RĪGAS DOMES ĪPAŠUMA DEPARTAMENTS',"Riharda Vāgnera iela 5, Rīga",1624 - 1850 ,30.11.2023
STROPĒTĀJS,"Sabiedrība ar ierobežotu atbildību ""OK BŪVMATERIĀLI""","Trapi, Mārupe, Mārupes nov.",1176 - 1260 ,15.12.2023
VALDES LOCEKLIS,"Akciju sabiedrība ""Latvijas valsts meži""","Vaiņodes iela 1, Rīga",11493 ,15.12.2023
VEIKALA KASIERIS,"SIA ""cenuklubs.lv""","Rēzeknes iela 3, Rīga",6 ,03.12.2023
VECĀKAIS EKSPERTS,Latvijas Republikas Vides aizsardzības un reģionālās attīstības ministrija,"Peldu iela 25, Rīga",1746 - 1950 ,14.12.2023
PĀRDEVĒJS KONSULTANTS,"SIA ""cenuklubs.lv""","Rēzeknes iela 3, Rīga",6.3 ,03.12.2023
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""SUE'S CHAIN OF RESTAURANTS""","Mūkusalas iela 71, Rīga",1373 ,15.01.2024
KONDITORS,"SIA ""MADARA LV""","Pulkveža Brieža iela 2, Rēzekne",620 ,29.11.2023
KVALITĀTES TEHNIĶIS,"SIA ""Pulsar Optics""","Stiklu iela 7P, Daugavpils",1373 - 2750 ,04.01.2024
Kultūras projektu VADĪTĀJS,Valmieras novada pašvaldība,"Upes iela 9, Rūjiena, Valmieras nov.",983 - 1157 ,04.12.2023
TEHNISKAIS ORTOPĒDS,"Valsts sabiedrība ar ierobežotu atbildību ""Nacionālais rehabilitācijas centrs ""Vaivari""""","Ventspils iela 53, Rīga",1500 - 1665 ,28.11.2023
NOLIKTAVAS DARBINIEKS,"Sabiedrība ar ierobežotu atbildību ""Aizpores""","Ingas, Kalvenes pag., Dienvidkurzemes nov.",No 720 ,15.12.2023
ELEKTROSISTĒMAS TEHNIĶIS,"""HansaMatrix Ventspils SIA""","Ventspils Augsto tehnoloģiju parks 1, Ventspils",1025 - 1285 ,14.12.2023
MANTZINIS,"""HansaMatrix Ventspils SIA""","Ventspils Augsto tehnoloģiju parks 1, Ventspils",840 - 924 ,14.12.2023
PSIHOLOGS,Ķekavas novada sociālais dienests,"Gaismas iela 19 k-8, Ķekava, Ķekavas nov.",1085 - 1388 ,30.11.2023
ELEKTRONIKAS MONTĒTĀJS,"""HansaMatrix Ventspils SIA""","Ventspils Augsto tehnoloģiju parks 1, Ventspils",814 - 895 ,14.12.2023
AUTOMATIZĒTĀS /MONTĀŽAS LĪNIJAS OPERATORS,"""HansaMatrix Ventspils SIA""","Ventspils Augsto tehnoloģiju parks 1, Ventspils",1200 - 1450 ,14.12.2023
SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Ķekavas novada sociālais dienests,"Gaismas iela 19 k-8, Ķekava, Ķekavas nov.",1194 - 1405 ,30.11.2023
ĒDINĀŠANAS UZŅĒMUMA KASIERIS-PĀRDEVĒJS,"Sabiedrība ar ierobežotu atbildību ""SUE'S CHAIN OF RESTAURANTS""","Mūkusalas iela 71, Rīga",5 - 7 ,30.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""IMEXTRANS""",Latvija,1373 ,31.01.2024
Personāla/ personālvadības struktūrvienības VADĪTĀJS/ DIREKTORS,Ventspils brīvostas pārvalde,"Jāņa iela 19, Ventspils",2750 ,15.12.2023
VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Rīgas Mākslas un mediju tehnikums,"Jūrmalas gatve 96 k-1, Rīga",1100 - 1200 ,31.12.2023
VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Rīgas Mākslas un mediju tehnikums,"Jūrmalas gatve 96 k-1, Rīga",1100 - 1200 ,31.12.2023
VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Rīgas Mākslas un mediju tehnikums,"Jūrmalas gatve 96 k-1, Rīga",1100 - 1200 ,31.12.2023
SKAITĻOTĀJU /DATU BĀZES ANALĪTIĶIS,"""Rīgas satiksme"", Rīgas pašvaldības sabiedrība ar ierobežotu atbildību","Vestienas iela 35, Rīga",2220 - 2331 ,05.12.2023
SOCIĀLAIS DARBINIEKS,Ķekavas novada sociālais dienests,"Gaismas iela 19 k-8, Ķekava, Ķekavas nov.",1194 - 1405 ,30.11.2023
Zinātniskais ASISTENTS,Latvijas Kultūras akadēmija,"Ludzas iela 24, Rīga",No 155 ,14.12.2023
EKONOMISTS,Siguldas novada pašvaldība,"Pils iela 16, Sigulda, Siguldas nov.",1226 - 1291 ,28.11.2023
APKOPĒJS,Valkas novada pašvaldība,"Ausekļa iela 28, Valka, Valkas nov.",Līdz 620 ,29.12.2023
BŪVINŽENIERIS,Preiļu novada pašvaldība,"Raiņa bulvāris 19, Preiļi, Preiļu nov.",1350 ,26.11.2023
MĀSA/ vispārējās aprūpes MĀSA,Rīgas patversme,"Eiženijas iela 1E, Rīga",1000 ,27.11.2023
BIROJA ADMINISTRATORS,"Sabiedrība ar ierobežotu atbildību ""Peterkoks Baltics""","Celtnieku iela 1A, Olaine, Olaines nov.",900 - 1500 ,22.12.2023
TRANSPORTA PĀRRAUGS,"""Rīgas satiksme"", Rīgas pašvaldības sabiedrība ar ierobežotu atbildību","Kleistu iela 28, Rīga",5.96 ,30.12.2023
DATORIZĒTĀS CIPARU VADĪBAS (CNC) METĀLAPSTRĀDES DARBAGALDU OPERATORS,"SIA ""MADESTA""","Rencēnu iela 8, Rīga",1680 - 2000 ,29.02.2024
APKOPĒJS,"SIA ""GREEN LINE SERVICES""","Cēsis, Cēsu nov.",290 - 700 ,24.11.2023
Mehānismu MEHĀNIĶIS,"Valsts sociālās aprūpes centrs ""Zemgale""","Kalnciema ceļš 109, Jelgava",648 - 974 ,26.11.2023
"AUTOBUSA, TROLEJBUSA UN TRAMVAJA VADĪTĀJS (MANEVRĒTĀJS)","""Rīgas satiksme"", Rīgas pašvaldības sabiedrība ar ierobežotu atbildību","Kleistu iela 28, Rīga",6.36 - 7 ,30.12.2023
ĀRSTNIECĪBAS IESTĀDES KLIENTU UN PACIENTU REĢISTRATORS,"Sabiedrība ar ierobežotu atbildību ""Rīgas Stradiņa universitātes Stomatoloģijas institūts""","Dzirciema iela 20, Rīga",1150 - 1300 ,30.11.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,LENOKA SIA,"Rīgas iela 4, Valmiera, Valmieras nov.",4.8 ,29.11.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""A'Tuin"", Sabiedrība ar ierobežotu atbildību","Ilzenes iela 25, Rīga",1377 - 1500 ,31.05.2024
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""A'Tuin"", Sabiedrība ar ierobežotu atbildību","Ilzenes iela 25, Rīga",1377 - 1500 ,31.05.2024
ĒKU UN APSAIMNIEKOJAMĀS TERITORIJAS PĀRZINIS,"Sabiedrība ar ierobežotu atbildību ""VILKME""","Priedes 4 - 57, Silakrogs, Ropažu pag., Ropažu nov.",No 1400 ,30.11.2023
TRAUKU MAZGĀTĀJS,"SIA ""TIAMO GRUPA""","Jaunmoku iela 13, Rīga",620 ,10.12.2023
PAVĀRS,LENOKA SIA,"Raiņa iela 40A, Ludza, Ludzas nov.",4.3 ,15.12.2023
OFTALMOLOGS,"Pašvaldības sabiedrība ar ierobežotu atbildību ""Kauguru veselības centrs""","Raiņa iela 98A, Jūrmala",1639 - 3000 ,01.02.2024
PĀRDEVĒJS KONSULTANTS,"SIA ""Dabas tēja""","Maskavas iela 257, Rīga",5 - 7 ,30.11.2023
RAŽOŠANAS INŽENIERIS,"SIA ""Kornbest""","SIA Kornbest, Jauntīreļi, Grēnes, Olaines pag., Olaines nov.",1373 ,30.11.2023
KONTAKTTĪKLU ELEKTROMONTIERIS,"Sabiedrība ar ierobežotu atbildību ""Reck""","Vestienas iela 6A, Rīga",1300 - 1700 ,29.12.2023
VIESMĪLIS,"SIA ""TIAMO GRUPA""","Jaunmoku iela 13, Rīga",620 - 1000 ,10.12.2023
ZIVJU APSTRĀDES IEKĀRTU OPERATORS,"SIA ""BraDava""","Dīriņi, Puzes pag., Ventspils nov.",7.9 - 8 ,12.12.2023
Ceha iekārtu MEHĀNIĶIS,"SIA ""BraDava""","Dīriņi, Puzes pag., Ventspils nov.",6.5 - 8 ,12.12.2023
ATTĪRĪŠANAS IEKĀRTAS OPERATORS,"SIA ""BraDava""","Dīriņi, Puzes pag., Ventspils nov.",6.5 - 8 ,12.12.2023
RAŽOŠANAS MAIŅAS VADĪTĀJS,"SIA ""BraDava""","Dīriņi, Puzes pag., Ventspils nov.",7.9 - 8 ,12.12.2023
PROJEKTA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""Reklāmas risinājumu serviss""","Dārza iela 25, Ogre, Ogres nov.",No 680 ,15.12.2023
APKOPĒJS,"Jelgavas valstspilsētas pašvaldības iestāde ""Sporta servisa centrs""","Mātera iela 44A, Jelgava",No 4 ,01.12.2023
SPECIĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Valmieras novada pašvaldība,"Leona Paegles iela 5, Valmiera, Valmieras nov.",1000 ,24.11.2023
MUZEJPEDAGOGS,Tukuma muzejs,"M. Parka iela 7, Tukums, Tukuma nov.",1035 - 1139 ,26.11.2023
IEPIRKUMU SPECIĀLISTS,Valsts policija,"Čiekurkalna 1. līnija 1 k-4, Rīga",1284 - 1473 ,15.12.2023
JURISKONSULTS,Valsts policija,"Čiekurkalna 1. līnija 1 k-4, Rīga",1429 - 1633 ,15.12.2023
KOKAPSTRĀDES IEKĀRTU OPERATORS,"SIA ""Titan Wood""","Jeri 10, Valmieras pag., Valmieras nov.",No 1373 ,15.12.2023
SPECIALIZĒTĀ /AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""RENETA""",Valmieras nov.,1900 - 2300 ,15.12.2023
IEPIRKUMU SPECIĀLISTS,Valsts policija,"Čiekurkalna 1. līnija 1 k-4, Rīga",1082 - 1241 ,15.12.2023
VECĀKAIS EKSPERTS,Ekonomikas ministrija,"Brīvības iela 55, Rīga",1900 ,30.11.2023
TIRGVEDĪBAS UN TIRDZNIECĪBAS SPECIĀLISTS,SIA Aspired,"Ventspils Augsto tehnoloģiju parks 1, Ventspils",1400 - 1700 ,15.12.2023
BŪVKONSTRUKCIJU MONTĒTĀJS,"SIA ""AMG montāža""",Liepāja,1200 - 1800 ,24.11.2023
METĀLA KRĀSOŠANAS OPERATORS,"SIA ""Netaman ships service""","Zivju iela 3 k-2, Rīga",1373 ,15.05.2024
BŪVINSPEKTORS,Jelgavas novada pašvaldība,"Stadiona iela 10, Ozolnieki, Ozolnieku pag., Jelgavas nov.",2000 ,30.11.2023
JURISTS,Jelgavas novada pašvaldība,"Pasta iela 37, Jelgava",1810 ,07.12.2023
GRĀMATVEDIS (TREŠĀ LĪMEŅA KVALIFIKĀCIJA),"Atvasināta publiska persona ""Agroresursu un ekonomikas institūts""","Zinātnes iela 2, Priekuļi, Priekuļu pag., Cēsu nov.",7.5 ,28.11.2023
VIRPOTĀJS,"Sabiedrība ar ierobežotu atbildību ""Allatherm""","Pulka iela 3, Rīga",2000 - 2300 ,06.12.2023
APKOPĒJS,"SIA ""Bauskas novada komunālserviss""","Salātu iela 7A, Bauska, Bauskas nov.",620 ,23.11.2023
MEISTARS (transporta jomā),"""Rīgas satiksme"", Rīgas pašvaldības sabiedrība ar ierobežotu atbildību","Brīvības iela 191, Rīga",1590 - 1670 ,15.12.2023
APKOPĒJS,"Sabiedrība ar ierobežotu atbildību ""VITA mārkets""","Zinātnes iela 1, Sigulda, Siguldas nov.",620 ,29.11.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""19.05 trucking"", SIA","Gramzdas iela 19 k-1 - 33, Rīga",1373 ,14.12.2023
MAIŅAS VECĀKAIS,"Sabiedrība ar ierobežotu atbildību ""VITA mārkets""","Gravas iela 1, Kuldīga, Kuldīgas nov.",4.3 - 4.8 ,29.11.2023
KRĀVĒJS (ROKU DARBS),"""MAXIMA Latvija"" SIA","Dzelzavas iela 6a, Purvciems, Rīga",4.55 - 5.15 ,31.12.2023
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"""MAXIMA Latvija"" SIA","Dzelzavas iela 6a, Purvciems, Rīga",4.35 - 4.95 ,31.12.2023
VEIKALA KASIERIS,"""MAXIMA Latvija"" SIA","Dzelzavas iela 6a, Purvciems, Rīga",4.7 - 5.3 ,31.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"""MAXIMA Latvija"" SIA","Dzelzavas iela 6a, Purvciems, Rīga",4.5 - 5.1 ,31.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"Sabiedrība ar ierobežotu atbildību ""FOREVERS""","Gaujas iela 6, Ādaži, Ādažu nov.",1000 - 1200 ,31.12.2023
KRĀVĒJS (ROKU DARBS),"Sabiedrība ar ierobežotu atbildību ""VITA mārkets""","Rīgas iela 24, Salaspils, Salaspils nov.",5.9 - 6.4 ,29.11.2023
MIESNIEKS,"Sabiedrība ar ierobežotu atbildību ""VITA mārkets""","Rīgas iela 24, Salaspils, Salaspils nov.",7 ,29.11.2023
BŪVINŽENIERIS,Ropažu novada pašvaldība,"Institūta iela 1A, Ulbroka, Stopiņu pag., Ropažu nov.",1746 ,28.11.2023
TULKS REFERENTS,"Sabiedrība ar ierobežotu atbildību ""BALTIJAS SERTIFIKĀCIJAS CENTRS""",Rīga,35 ,31.12.2023
GRIEŠANAS OPERATORS,"SIA ""TENAPORS""","Spodrības iela 1, Dobele, Dobeles nov.",1000 - 1500 ,22.12.2023
MAIŅAS VECĀKAIS,"""MAXIMA Latvija"" SIA","Biķernieku iela 143, Mežciems, Rīga",5.7 - 6.5 ,31.12.2023
Datu ievades OPERATORS,"SIA ""Livas Biznesa Centrs""","Vidrižu iela 1, Rīga",750 - 850 ,30.11.2023
IEPIRKUMU SPECIĀLISTS,Sociālās integrācijas valsts aģentūra,"Dubultu prospekts 71, Jūrmala",1400 ,30.11.2023
AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""KORNERSTONE""","Rīgas iela 4, Dagda, Krāslavas nov.",620 ,13.12.2023
PASTNIEKS,"""Latvijas Pasts"", Valsts akciju sabiedrība","Pasta iela 4, Liepāja",495 - 550 ,30.11.2023
LAUKSAIMNIECĪBAS TEHNIKAS REMONTATSLĒDZNIEKS,"Sabiedrība ar ierobežotu atbildību ""ALŪKSNES LAUKU SERVISS""","Rūpniecības iela 2D, Alūksne, Alūksnes nov.",700 ,28.11.2023
TIRGVEDĪBAS UN TIRDZNIECĪBAS SPECIĀLISTS,"""Air Baltic Corporation"", AS","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",1900 - 2200 ,04.12.2023
ELEKTRONISKĀS KOMERCIJAS SPECIĀLISTS,"""Air Baltic Corporation"", AS","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",2700 - 3000 ,04.12.2023
JURISTS,"Salaspils novada pašvaldības iestāde ""Salaspils pašvaldības dzīvokļu fonds""","Skolas iela 7, Salaspils, Salaspils nov.",1500 ,27.11.2023
ALGU GRĀMATVEDIS,"""Air Baltic Corporation"", AS","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",1200 ,04.12.2023
SANITĀRS,"SIA ""Rīgas Austrumu klīniskā universitātes slimnīca""","Linezera iela 3, Rīga",4.49 - 4.91 ,14.12.2023
PROJEKTA VADĪTĀJS,"SIA ""UNITEMP""","Skandu iela 7, Rīga",1400 ,14.02.2024
KLIENTU APKALPOŠANAS OPERATORS,"SIA ""Rīgas Austrumu klīniskā universitātes slimnīca""","Hipokrāta iela 2, Rīga",770 - 970 ,14.12.2023
MĀSA/ vispārējās aprūpes MĀSA,"SIA ""Rīgas Austrumu klīniskā universitātes slimnīca""","Linezera iela 3, Rīga",1269 ,14.12.2023
ELEKTROMEHĀNISKO IEKĀRTU MEHĀNIĶIS,"SIA ""TENAX PANEL""","Lauku iela 23, Dobele, Dobeles nov.",1300 - 1900 ,22.12.2023
SATIKSMES ORGANIZĀCIJAS INŽENIERIS,Rīgas valstspilsētas pašvaldības Ārtelpas un mobilitātes departaments,"Ģertrūdes iela 36, Rīga",2308 ,11.12.2023
TRANSPORTLĪDZEKĻU VADĪTĀJU KVALIFIKĀCIJAS INSPEKTORS,"Valsts akciju sabiedrība ""Ceļu satiksmes drošības direkcija""","Bauskas iela 86, Rīga",6.02 - 6.51 ,26.11.2023
ĒKAS UN TERITORIJAS DEŽURANTS,"Valsts zinātniskais institūts - atvasināta publiska persona ""Elektronikas un datorzinātņu institūts""","Dzērbenes iela 14, Rīga",620 - 650 ,27.11.2023
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"""MAXIMA Latvija"" SIA","Juglas iela 45, Juglā, Rīgā",4.35 - 4.95 ,31.12.2023
PĀRDOŠANAS SPECIĀLISTS,SIA HBA,"Mežrozīšu iela 43 - 119, Rīga",1373 - 1500 ,02.02.2024
MĀSA/ vispārējās aprūpes MĀSA,"SIA ""Rīgas 1. slimnīca""","Bruņinieku iela 5 k-2, Rīga",1190 - 1300 ,13.12.2023
Pamatdarbības atbalsta struktūrvienības VADĪTĀJS/ DIREKTORS,"Rīgas domes Izglītības, kultūras un sporta departaments","Krišjāņa Valdemāra iela 5, Rīga",1850 ,30.11.2023
VECĀKAIS EKSPERTS,Nacionālais veselības dienests,"Cēsu iela 31 k-3, Rīga",1205 - 1487 ,23.11.2023
AUTOATSLĒDZNIEKS,"Sabiedrība ar ierobežotu atbildību ""VEDA S""","Dārzciema iela 57, Rīga",1373 - 2000 ,31.12.2023
REMONTATSLĒDZNIEKS,"SIA ""TENAX PANEL""","Lauku iela 23, Dobele, Dobeles nov.",1400 - 1800 ,22.12.2023
PRESES OPERATORS,"SIA ""TENAX PANEL""","Lauku iela 23, Dobele, Dobeles nov.",1000 - 1600 ,22.12.2023
AUTOMOBIĻA VADĪTĀJS,"""Latvijas Pasts"", Valsts akciju sabiedrība","Užavas iela 8, Ventspils",690 - 790 ,30.11.2023
SPECIALIZĒTĀ /AUTOMOBIĻA VADĪTĀJS,"Lauksaimniecības pakalpojumu kooperatīvā sabiedrība ""VIĻĀNI""","Ornicāni, Viļānu pag., Rēzeknes nov.",800 - 1500 ,28.11.2023
AutoELEKTRIĶIS,"Sabiedrība ar ierobežotu atbildību ""VEDA S""","Dārzciema iela 57, Rīga",1373 - 2300 ,31.12.2023
TRANSPORTLĪDZEKĻU TĪRĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""VEDA S""","Dārzciema iela 57, Rīga",1373 - 1500 ,31.12.2023
IEPIRKUMU SPECIĀLISTS,"SIA ""Rīgas nami""","Rātslaukums 5, Rīga",1900 - 2100 ,27.11.2023
PAVĀRS,SIA CreaKids,"Kastrānes iela 5A, Rīga",1300 ,30.11.2023
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,SIA CreaKids,"Prūšu iela 46, Rīga",1400 ,30.11.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""HAVI Supply Chain"", SIA","Dzelzavas iela 131, Rīga",1600 - 2500 ,24.11.2023
KRĀVĒJS (ROKU DARBS),"""HAVI Supply Chain"", SIA","Maskavas iela 493, Rumbula, Stopiņu pag., Ropažu nov.",1100 - 1500 ,24.11.2023
SISTĒMANALĪTIĶIS,Iekšlietu ministrijas Informācijas centrs,"Bruņinieku iela 72B, Rīga",1750 - 2500 ,04.12.2023
ĒKU CELTNIEKS,AK Fasādes SIA,"Dienvidu iela 49A, Dzidriņas, Stopiņu pag., Ropažu nov.",1400 ,30.11.2023
VEIKALA KASIERIS,"SIA ""cenuklubs.lv""","Rīgas iela 8, Talsi, Talsu nov.",4.8 ,03.12.2023
FINANSISTS,Nodrošinājuma valsts aģentūra,"Čiekurkalna 1. līnija 1 k-2, Rīga",1130 - 1300 ,24.11.2023
BŪVSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""PRO SP""","Jāņa Daliņa iela 4, Rīga",1373 ,14.02.2024
DZĒRIENU RAŽOŠANAS BRIGADIERIS,"Akciju sabiedrība ""Cēsu alus""","Cēsis, Cēsu nov.",1300 - 1500 ,14.12.2023
KREDĪTPROJEKTU VADĪTĀJS,"Akciju sabiedrība ""Attīstības finanšu institūcija Altum""","Doma laukums 4, Rīga",1900 - 2200 ,30.11.2023
KOMERCDARBĪBAS SPECIĀLISTS,GENTLEMEN SIA,"Tērbatas iela 73, Rīga",1373 ,14.02.2024
PROGRAMMĒTĀJS,"""calkam"", SIA","Rīga, Aleksandra Čaka iela 113 - 65, LV-1011",2750 - 2800 ,29.11.2023
PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (VALSTS PĀRVALDES JOMĀ),Nodrošinājuma valsts aģentūra,"Čiekurkalna 1. līnija 1 k-2, Rīga",1661 - 1910 ,28.11.2023
PRESES OPERATORS,"SIA ""Grigeo Recycling""","Ēdoles iela 5, Rīga",1200 - 1350 ,27.11.2023
VECĀKAIS REFERENTS,Ieslodzījuma vietu pārvalde,"Stabu iela 89, Rīga",1215 - 1735 ,30.11.2023
